X,Y,施設名,施設名かな,施設名（施,所在地,地区名,TEL,FAX,詳細情報,開館時間,URL,バリアフリ,駐輪場 PC,駐輪場 携,大分類,小分類,カテゴリ,アイコン番,施設ID
135.4549113,34.66420786,港税務署,みなとぜいむしょ,港税務署（みなとぜいむしょ）,港区磯路3-20-11,港区,06-6572-3901,,,,,,,,官公庁,国の機関,官公庁/国の機関,106,1961
135.4714643,34.66833617,大阪西公共職業安定所(ハローワーク大阪西),おおさかにしこうきょうしょくぎょうあんていじょ（はろーわーくにし）,大阪西公共職業安定所(ハローワーク大阪西)（おおさかにしこうきょうしょくぎょうあんていじょ（はろーわーくにし））,港区南市岡1-2-34,港区,06-6582-5271,,,,http://osaka-rodo.go.jp/hw/nishi/,,,,官公庁,国の機関,官公庁/国の機関,111,2063
135.4638309,34.68461906,西野田労働基準監督署,にしのだろうどうきじゅんかんとくしょ,西野田労働基準監督署（にしのだろうどうきじゅんかんとくしょ）,此花区西九条5-3-63,此花区,6462-8101,6462-8104,,,http://www.osaka-rodo.go.jp/kyoku/kantoku/kantoku.php,,,,官公庁,国の機関,官公庁/国の機関,122,1011
135.498942,34.66431094,難波公証役場,なんばこうしょうやくば,難波公証役場（なんばこうしょうやくば）,浪速区難波中1-10-4　南海野村ビル６階,浪速区,06-6633-3598,06-6643-5020,,,http://www.koshonin.gr.jp/map/3-005.html,,,,官公庁,国の機関,官公庁/国の機関,104,55
135.4881946,34.67500456,堀江年金事務所,ほりえねんきんじむしょ,堀江年金事務所（ほりえねんきんじむしょ）,西区北堀江3-10-1,西区,06-6531-5241,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,4800
135.522706,34.66633317,上六公証役場,うえろくこうしょうやくば,上六公証役場（うえろくこうしょうやくば）,天王寺区東高津町11-9,天王寺区,06-6763-3649,,公正証書,,,,,,官公庁,国の機関,官公庁/国の機関,104,4326
135.5145282,34.67235306,南税務署,みなみぜいむしょ,南税務署（みなみぜいむしょ）,中央区谷町7-5-23,中央区,06-6768-4881,,(国税全般),,,,,,官公庁,国の機関,官公庁/国の機関,106,81
135.480235,34.68047089,西税務署,にしぜいむしょ,西税務署（にしぜいむしょ）,西区川口2-7-9,西区,06-6583-4624,,,,,,,,官公庁,国の機関,官公庁/国の機関,106,4797
135.4799109,34.69223894,大阪福島税務署,おおさかふくしまぜいむしょ,大阪福島税務署（おおさかふくしまぜいむしょ）,福島区玉川2-12-28,福島区,06-6448-1281,,,,http://www.nta.go.jp/osaka/guide/zeimusho/osaka/osakafukushima/index.htm,,,,官公庁,国の機関,官公庁/国の機関,106,3541
135.5139252,34.68110617,ハローワーク大阪東,はろーわーくおおさかひがし,ハローワーク大阪東（はろーわーくおおさかひがし）,中央区農人橋2-1-36,中央区,06-6942-4771,,,,http://osaka-rodo.go.jp/hw/higashi/,,,,官公庁,国の機関,官公庁/国の機関,111,1179
135.5061469,34.68130783,大手前年金事務所,おおてまえねんきんじむしょ,大手前年金事務所（おおてまえねんきんじむしょ）,中央区久太郎町2-1-30 船場ダイヤモンドビル6階～8階,中央区,06-6271-7301,06-6261-8738,(社会保険・厚生年金等),,,http://www.osaka-bfmap.jp/sisetu_data/data/051422.php?bunrui=1&name=5.php,,,官公庁,国の機関,官公庁/国の機関,104,1178
135.5179939,34.68190286,近畿財務局,きんきざいむきょく,近畿財務局（きんきざいむきょく）,中央区大手前4-1-76 大阪合同庁舎4号館,中央区,06-6949-6390,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,1183
135.5179919,34.682017,近畿運輸局,きんきうんゆきょく,近畿運輸局（きんきうんゆきょく）,中央区大手前4-1-76 大阪合同庁舎4号館,中央区,06-6949-6404,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,1188
135.5179939,34.68178911,大阪管区気象台,おおさかかんくきしょうだい,大阪管区気象台（おおさかかんくきしょうだい）,中央区大手前4-1-76 大阪合同庁舎4号館,中央区,06-6949-6300,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,1189
135.5189284,34.68184414,近畿管区行政評価局,きんきかんくぎょうせいひょうかきょく,近畿管区行政評価局（きんきかんくぎょうせいひょうかきょく）,中央区大手前4-1-67 大阪合同庁舎2号館,中央区,06-6941-3431,,,,http://www.soumu.go.jp/kanku/kinki.html,,,,官公庁,国の機関,官公庁/国の機関,104,1180
135.5189331,34.68173111,自衛隊大阪地方連絡部,じえいたいおおさかちほうれんらくぶ,自衛隊大阪地方連絡部（じえいたいおおさかちほうれんらくぶ）,中央区大手前4-1-67 大阪合同庁舎2号館,中央区,06-6942-0541,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,1181
135.5189331,34.68194203,大阪労働局,おおさかろうどうきょく,大阪労働局（おおさかろうどうきょく）,中央区大手前4-1-67 大阪合同庁舎2号館,中央区,06-6949-6482,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,1192
135.5191972,34.68287206,大阪家庭裁判所,おおさかかていさいばんしょ,大阪家庭裁判所（おおさかかていさいばんしょ）,中央区大手前4-1-13,中央区,06-6943-5321,,,,,,,,官公庁,国の機関,官公庁/国の機関,202,1194
135.5179218,34.68703303,大阪法務局,おおさかほうむきょく,大阪法務局（おおさかほうむきょく）,中央区谷町2-1-17,中央区,06-6942-1481,,(不動産登記),,http://houmukyoku.moj.go.jp/osaka/frame.html,http://www.osaka-bfmap.jp/sisetu_data/data/051431.php?bunrui=1&name=5.php,,,官公庁,国の機関,官公庁/国の機関,105,1177
135.5179083,34.68883311,東税務署,ひがしぜいむしょ,東税務署（ひがしぜいむしょ）,中央区大手前1-5-63 大阪合同庁舎3号館,中央区,06-6942-1101,,(国税全般),,,,,,官公庁,国の機関,官公庁/国の機関,106,1171
135.5179077,34.68902183,大阪国税局,おおさかこくぜいきょく,大阪国税局（おおさかこくぜいきょく）,中央区大手前1-5-63 大阪合同庁舎3号館,中央区,06-6941-5331,,,,,,,,官公庁,国の機関,官公庁/国の機関,106,1184
135.517911,34.68892803,大阪国税不服審判所,おおさかこくぜいふふくしんぱんしょ,大阪国税不服審判所（おおさかこくぜいふふくしんぱんしょ）,中央区大手前1-5-63 大阪合同庁舎3号館,中央区,06-6943-0370,,,,,,,,官公庁,国の機関,官公庁/国の機関,106,1185
135.5119532,34.68975789,郵便局株式会社　近畿支社,ゆうびんきょくかぶしきがいしゃ　きんきししゃ,郵便局株式会社　近畿支社（ゆうびんきょくかぶしきがいしゃ　きんきししゃ）,中央区北浜東3-9,中央区,06-6944-5420,,,,,,,,官公庁,国の機関,官公庁/国の機関,107,1190
135.5193387,34.68848597,近畿農政局大阪農政事務所,きんきのうせいきょくおおさかのうせいじむしょ,近畿農政局大阪農政事務所（きんきのうせいきょくおおさかのうせいじむしょ）,中央区大手前1-5-44 大阪合同庁舎1号館,中央区,06-6943-9691,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,1186
135.519336,34.68856389,近畿地方整備局,きんきちほうせいびきょく,近畿地方整備局（きんきちほうせいびきょく）,中央区大手前1-5-44 大阪合同庁舎1号館,中央区,06-6942-1141,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,1193
135.5193279,34.688719,近畿経済産業局,きんきけいざいさんぎょうきょく,近畿経済産業局（きんきけいざいさんぎょうきょく）,中央区大手前1-5-44 大阪合同庁舎1号館,中央区,06-6966-6000,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,1187
135.5193333,34.68863592,近畿総合通信局,きんきそうごうつうしんきょく,近畿総合通信局（きんきそうごうつうしんきょく）,中央区大手前1-5-44 大阪合同庁舎1号館,中央区,06-6942-8504,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,1191
135.4594671,34.71051686,西淀川税務署,にしよどがわぜいむしょ,西淀川税務署（にしよどがわぜいむしょ）,西淀川区野里3丁目3番3号,西淀川区,06-6472-1021,,,,http://www.nta.go.jp/osaka/guide/zeimusho/osaka/nishiyodogawa/index.htm,,,,官公庁,国の機関,官公庁/国の機関,106,3651
135.4903673,34.69455003,大阪中之島合同庁舎,おおさかなかのしまごうどうちょうしゃ,大阪中之島合同庁舎（おおさかなかのしまごうどうちょうしゃ）,福島区福島1-1-60,福島区,,,大阪検察庁,,,,,,官公庁,国の機関,官公庁/国の機関,104,4643
135.482333,34.69624989,福島年金事務所,ふくしまねんきんじむしょ,福島年金事務所（ふくしまねんきんじむしょ）,福島区福島8-12-6,福島区,06-6458-1855,06-6458-3838,,,http://www.sia.go.jp/sodan/madoguchi/shaho/osaka/osaka04.htm,http://www.osaka-bfmap.jp/sisetu_data/data/031421.php?bunrui=1&name=3.php,,,官公庁,国の機関,官公庁/国の機関,135,3568
135.5041109,34.69583111,大阪高等裁判所,おおさかこうとうさいばんしょ,大阪高等裁判所（おおさかこうとうさいばんしょ）,北区西天満2-1-10,北区,06-6363-1281,,,,,,,,官公庁,国の機関,官公庁/国の機関,202,280
135.5041331,34.69565792,大阪地方裁判所,おおさかちほうさいばんしょ,大阪地方裁判所（おおさかちほうさいばんしょ）,北区西天満2-1-10,北区,06-6363-1281,,,,,,,,官公庁,国の機関,官公庁/国の機関,202,281
135.5041439,34.69547511,大阪簡易裁判所,おおさかかんいさいばんしょ,大阪簡易裁判所（おおさかかんいさいばんしょ）,北区西天満2-1-10,北区,06-6363-1281,,,,,,,,官公庁,国の機関,官公庁/国の機関,202,282
135.4976828,34.69894194,ハローワーク梅田(梅田公共職業安定所),はろーわーくうめだ（うめだこうきょうしょくぎょうあんていしょ）,ハローワーク梅田(梅田公共職業安定所)（はろーわーくうめだ（うめだこうきょうしょくぎょうあんていしょ））,北区梅田１－２－２（大阪駅前第２ビル１６F）,北区,06-6344-8609,,,,http://osaka-rodo.go.jp/hw/umeda/,,,,官公庁,国の機関,官公庁/国の機関,111,287
135.5057858,34.69553606,大阪法務局北出張所,おおさかほうむきょくきたしゅっちょうじょ,大阪法務局北出張所（おおさかほうむきょくきたしゅっちょうじょ）,北区西天満1-11-4,北区,06-6363-1981,,,,,,,,官公庁,国の機関,官公庁/国の機関,105,283
135.5210217,34.69653314,造幣局,ぞうへいきょく,造幣局（ぞうへいきょく）,北区天満1-1-79,北区,06-6351-5361,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,285
135.506533,34.70179383,北税務署,きたぜいむしょ,北税務署（きたぜいむしょ）,北区南扇町7-13,北区,06-6313-3371,,(国税全般),,http://www.nta.go.jp/osaka/guide/zeimusho/osaka/kita/index.htm,,,,官公庁,国の機関,官公庁/国の機関,106,276
135.5176139,34.70021411,天満労働基準監督署,てんまろうどうきじゅんかんとくしょ,天満労働基準監督署（てんまろうどうきじゅんかんとくしょ）,北区同心1-1-17,北区,06-6358-0261,,,,,,,,官公庁,国の機関,官公庁/国の機関,122,278
135.5133,34.70400017,天満社会保険事務所,てんましゃかいほけんじむしょ,天満社会保険事務所（てんましゃかいほけんじむしょ）,北区天神橋4-1-15,北区,06-6356-5511,,,,,,,,官公庁,国の機関,官公庁/国の機関,135,279
135.5184473,34.70243894,近畿中国森林管理局,きんきちゅうごくしんりんかんりきょく,近畿中国森林管理局（きんきちゅうごくしんりんかんりきょく）,北区天満橋1-8-75,北区,06-6881-3500,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,286
135.4951967,34.71032489,大淀税務署,おおよどぜいむしょ,大淀税務署（おおよどぜいむしょ）,北区中津1-5-16,北区,06-6372-7221,,(国税全般),,http://www.nta.go.jp/osaka/guide/zeimusho/osaka/oyodo/index.htm,,,,官公庁,国の機関,官公庁/国の機関,106,277
135.4963191,34.70722517,梅田公証役場,うめだこうしょうやくば,梅田公証役場（うめだこうしょうやくば）,北区芝田2-7-18　全日空ビル新館3Ｆ,北区,06-6376-4158,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,284
135.5240973,34.71490611,大阪拘置所,おおさかこうちしょ,大阪拘置所（おおさかこうちしょ）,都島区友渕町1-2-5,都島区,06-6921-0371,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,3045
135.5328862,34.67057183,東成税務署,ひがしなりぜいむしょ,東成税務署（ひがしなりぜいむしょ）,東成区東小橋2丁目1番7号,東成区,06-6972-1331,,(国税全般),,http://www.nta.go.jp/osaka/guide/zeimusho/osaka/higashinari/data.htm#PAM,,,,官公庁,国の機関,官公庁/国の機関,106,3470
135.5396168,34.67140814,今里年金事務所,いまざとねんきんじむしょ,今里年金事務所（いまざとねんきんじむしょ）,東成区大今里西2丁目1番8号,東成区,06-6972-0161,,(社会保険・厚生年金等),,,,,,官公庁,国の機関,官公庁/国の機関,104,3406
135.5326942,34.68108106,大阪中央労働基準監督署,おおさかちゅうおうろうどうきじゅんかんとくしょ,大阪中央労働基準監督署（おおさかちゅうおうろうどうきじゅんかんとくしょ）,中央区森ノ宮中央1-15-10,中央区,06-6941-0451,,,,,,,,官公庁,国の機関,官公庁/国の機関,122,1176
135.5435137,34.70035811,城東年金相談センター,じょうとうねんきんそうだんせんたー,城東年金相談センター（じょうとうねんきんそうだんせんたー）,城東区中央1-8-24,城東区,,,,,http://www.nenkin.go.jp/office/27osaka/joto_sc.html,,,,官公庁,国の機関,官公庁/国の機関,118,4412
135.5436222,34.70066389,城東年金事務所,じょうとうねんきんじむしょ,城東年金事務所（じょうとうねんきんじむしょ）,城東区中央1-8-19,城東区,06-6932-1161,,,,http://www.nenkin.go.jp/office/27osaka/joto.html,http://www.osaka-bfmap.jp/sisetu_data/data/171424.php?bunrui=1&name=17.php,,,官公庁,国の機関,官公庁/国の機関,135,5169
135.5438249,34.70483097,城東税務署,じょうとうぜいむしょ,城東税務署（じょうとうぜいむしょ）,城東区中央2-14-29,城東区,06-6932-1271,,,,http://www.nta.go.jp/osaka/guide/zeimusho/osaka/joto/index.htm,,,,官公庁,国の機関,官公庁/国の機関,106,5173
135.5514941,34.70036994,国土交通省近畿地方整備局 大阪国道事務所,こくどこうつうしょうきんきちほうせいびきょく　おおさかこくどうじむしょ,国土交通省近畿地方整備局 大阪国道事務所（こくどこうつうしょうきんきちほうせいびきょく　おおさかこくどうじむしょ）,城東区今福西2-12-35,城東区,06-6932-1421,,,,http://www.kkr.mlit.go.jp/osaka/index.php,,,,官公庁,国の機関,官公庁/国の機関,104,5104
135.545006,34.721261,旭税務署,あさひぜいむしょ,旭税務署（あさひぜいむしょ）,旭区大宮1-1-25,旭区,06-6952-3201,,(国税全般),,http://www.nta.go.jp/osaka/guide/zeimusho/osaka/asahi/index.htm,,,,官公庁,国の機関,官公庁/国の機関,106,1937
135.4820642,34.72228289,淀川公共職業安定所,よどがわこうきょうしょくぎょうあんていじょ,淀川公共職業安定所（よどがわこうきょうしょくぎょうあんていじょ）,淀川区十三本町3-4-11,淀川区,06-6302-4771,,,,http://osaka-rodo.go.jp/hw/yodogawa/,,,,官公庁,国の機関,官公庁/国の機関,111,2482
135.4933857,34.72471089,東淀川税務署,ひがしよどがわぜいむしょ,東淀川税務署（ひがしよどがわぜいむしょ）,淀川区木川東2-3-1,淀川区,06-6303-1141,,,,http://www.nta.go.jp/osaka/guide/zeimusho/osaka/higashiyodogawa/index.htm,,,,官公庁,国の機関,官公庁/国の機関,106,2554
135.497992,34.72594203,淀川年金事務所,よどがわねんきんじむしょ,淀川年金事務所（よどがわねんきんじむしょ）,淀川区西中島4-1-1日清食品ビル2･3階,淀川区,06-6305-1881,06-6305-4838,,,http://www.sia.go.jp/sodan/madoguchi/shaho/osaka/osaka11.htm,,,,官公庁,国の機関,官公庁/国の機関,104,2473
135.4877782,34.73178889,大阪簡易裁判所交通分室,おおさかかんいさいばんしょこうつうぶんしつ,大阪簡易裁判所交通分室（おおさかかんいさいばんしょこうつうぶんしつ）,淀川区三国本町1-13-27,淀川区,06-6350-6970,,,,,,,,官公庁,国の機関,官公庁/国の機関,202,2445
135.4873888,34.74305583,淀川労働基準監督署,よどがわろうどうきじゅんかんとくしょ,淀川労働基準監督署（よどがわろうどうきじゅんかんとくしょ）,淀川区西三国4-1-12,淀川区,06-6350-3991,,,,http://osaka-rodo.go.jp/kyoku/kantoku/kantoku.html,,,,官公庁,国の機関,官公庁/国の機関,104,2515
135.5183423,34.68535475,中央府税事務所,ちゅうおうふぜいじむしょ,中央府税事務所（ちゅうおうふぜいじむしょ）,中央区大手前３－１－４３,中央区,06-6941-7951,06-6942-6151,(府税全般・府営住宅等),,http://www.pref.osaka.jp/chuofuzei/,http://www.osaka-bfmap.jp/sisetu_data/data/051412.php?bunrui=1&amp;amp;name=5.php,,,官公庁,府の機関,官公庁/府の機関,106,1172
135.4144419,34.63796406,大阪府咲洲庁舎,おおさかふさきしまちょうしゃ,大阪府咲洲庁舎（おおさかふさきしまちょうしゃ）,住之江区南港北1-14-16,住之江区,,,,,,,,,官公庁,府の機関,官公庁/府の機関,112,675
135.5196169,34.602072,大阪府教育センター,おおさかふきょういくせんたー,大阪府教育センター（おおさかふきょういくせんたー）,住吉区苅田4丁目13番23号,住吉区,06-6692-1882,06-6692-1898,,,http://www.osaka-c.ed.jp/,,,,官公庁,府の機関,官公庁/府の機関,112,2981
135.5197921,34.63935614,大阪府なにわ南府税事務所,おおさかふなにわみなみふぜいじむしょ,大阪府なにわ南府税事務所（おおさかふなにわみなみふぜいじむしょ）,阿倍野区三明町2-10-21,阿倍野区,06-6621-1361,06-6621-0682,(府税全般・府営住宅等),,http://www.pref.osaka.jp/fumin/plaza/map_naniwaminami.html,,,,官公庁,府の機関,官公庁/府の機関,106,1201
135.5139286,34.64423469,大阪府パスポートセンター阿倍野分室,おおさかふパスポートセンターあべのぶんしつ,大阪府パスポートセンター阿倍野分室（おおさかふパスポートセンターあべのぶんしつ）,阿倍野区阿倍野筋2-1-40あべのand（ｱﾝﾄﾞ）4階,阿倍野区,06-6625-2304,,,,http://www.pref.osaka.jp/passport/,,,,官公庁,府の機関,官公庁/府の機関,112,8456
135.484867,34.68217508,大阪府西大阪治水事務所,おおさかふにしおおさかちすいじむしょ,大阪府西大阪治水事務所（おおさかふにしおおさかちすいじむしょ）,西区江之子島2-1-64,西区,06-6541-7771,,,,,,,,官公庁,府の機関,官公庁/府の機関,112,4787
135.508947,34.697333,なにわ北府税事務所,なにわきたふぜいじむしょ,なにわ北府税事務所（なにわきたふぜいじむしょ）,北区西天満3-5-24,北区,06-6362-8611,,(府税全般・府営住宅等),,http://www.pref.osaka.jp/zei/alacarte/map2.html,http://www.osaka-bfmap.jp/sisetu_data/data/011411.php?bunrui=1&name=1.php,,,官公庁,府の機関,官公庁/府の機関,106,271
135.5182472,34.68405617,パスポートセンター,ぱすぽーとせんたー,パスポートセンター（ぱすぽーとせんたー）,中央区大手前3-1-43 大阪府新別館南館,中央区,06-6944-6626,06-6941-7431,,,http://www.pref.osaka.jp/passport/,http://www.osaka-bfmap.jp/sisetu_data/data/051404.php?bunrui=1&name=5.php,,,官公庁,府の機関,官公庁/府の機関,112,1174
135.5194189,34.68637783,大阪府庁,おおさかふちょう,大阪府庁（おおさかふちょう）,中央区大手前2-1-22,中央区,06-6941-0351,06-6944-6601,,,http://www.pref.osaka.jp/,http://www.osaka-bfmap.jp/sisetu_data/data/051401.php?bunrui=1&name=5.php,,,官公庁,府の機関,官公庁/府の機関,112,1173
135.5128142,34.68993592,エル･おおさか：府立労働センター,えるおおさかふりつろうどうせんたー,エル･おおさか：府立労働センター（えるおおさかふりつろうどうせんたー）,中央区北浜東3-14,中央区,06-6942-0001,,,,http://www.l-osaka.or.jp/,,,,官公庁,府の機関,官公庁/府の機関,122,1151
135.5207138,34.68997506,ドーンセンター：府立男女共同参画・青少年センター,ドーンセンター：ふりつだんじょきょうどうさんかく・せいしょうねんせんたー,ドーンセンター：府立男女共同参画・青少年センター（ドーンセンター：ふりつだんじょきょうどうさんかく・せいしょうねんせんたー）,中央区大手前1-3-49,中央区,06-6910-8500,06-6910-8775,,,http://www.dawncenter.or.jp/,http://www.osaka-bfmap.jp/sisetu_data/data/050703.php?bunrui=1&name=5.php,,,官公庁,府の機関,官公庁/府の機関,122,1150
